TRADE LOOPS (534 total trades):

239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber
349-TRIUM from aaronseeber        receives 144-BOLID from ChrisPayne
144-BOLID from ChrisPayne         receives 890-REEFE from Phil81
890-REEFE from Phil81             receives 563-SHANG from gmcnish
563-SHANG from gmcnish            receives 502-FRAGI from Friendless
502-FRAGI from Friendless         receives 372-LOTRC from petegs
372-LOTRC from petegs             receives 796-WHCCG from Karlsen
796-WHCCG from Karlsen            receives 352-YSONE from aaronseeber
352-YSONE from aaronseeber        receives 355-TRIBU from TorbenVang
355-TRIBU from TorbenVang         receives 086-TALES from Dr Corey
086-TALES from Dr Corey           receives 043-MARSS from Critical Mass
043-MARSS from Critical Mass      receives 650-FORTA from zerogeek
650-FORTA from zerogeek           receives 111-CARDS from some_guy
111-CARDS from some_guy           receives 560-SPIGS from gmcnish
560-SPIGS from gmcnish            receives $20.0 from dlow
$20.0 from dlow                   receives 537-BLOOD from da pyrate
537-BLOOD from da pyrate          receives 642-VIVAP from Mark_Owen_Reich
642-VIVAP from Mark_Owen_Reich    receives 581-TALUV from Tyndal
581-TALUV from Tyndal             receives 369-TTREU from Amiguero
369-TTREU from Amiguero           receives 770-DOMIN from batcut
770-DOMIN from batcut             receives $40.0 from Dr Corey
$40.0 from Dr Corey               receives 957-PROPH from psmaylott
957-PROPH from psmaylott          receives 935-GTBIT from srand
935-GTBIT from srand              receives 626-DAMAG from trif
626-DAMAG from trif               receives 119-GANGS from petegs
119-GANGS from petegs             receives 052-SEVEN from Hida Mann
052-SEVEN from Hida Mann          receives 675-MANOW from goonahboy
675-MANOW from goonahboy          receives 659-DCLEG from zerogeek
659-DCLEG from zerogeek           receives 987-RFTGY from wilderness
987-RFTGY from wilderness         receives 790-TOUCH from Karlsen
790-TOUCH from Karlsen            receives 390-SCHWA from PBrennan
390-SCHWA from PBrennan           receives 687-HMSTR from Friendless
687-HMSTR from Friendless         receives $20.0 from cyberkev63
$20.0 from cyberkev63             receives 540-MEGAC from Ykikamucow
540-MEGAC from Ykikamucow         receives 185-WAITA from Friendless
185-WAITA from Friendless         receives 896-NDAME from Phil81
896-NDAME from Phil81             receives 500-FLOOR from Friendless
500-FLOOR from Friendless         receives 988-WORDO from cyberkev63
988-WORDO from cyberkev63         receives $20.0 from Moose_Head
$20.0 from Moose_Head             receives 433-MASON from intheclear
433-MASON from intheclear         receives 845-TAILS from TumbleSteak
845-TAILS from TumbleSteak        receives 103-SHOGN from some_guy
103-SHOGN from some_guy           receives 198-PWRGR from prd1982
198-PWRGR from prd1982            receives $45.0 from Ozludo
$45.0 from Ozludo                 receives 922-SAMAR from sysyphus
922-SAMAR from sysyphus           receives 952-CABLE from intheclear
952-CABLE from intheclear         receives 521-NAMER from tiggers
521-NAMER from tiggers            receives 561-DSCHU from gmcnish
561-DSCHU from gmcnish            receives 470-DAIST from Mariana
470-DAIST from Mariana            receives 339-NAMER from Phil81
339-NAMER from Phil81             receives 384-TOWER from PBrennan
384-TOWER from PBrennan           receives 351-STBAR from aaronseeber
351-STBAR from aaronseeber        receives 258-SYLLA from TorbenVang
258-SYLLA from TorbenVang         receives 905-PRESI from Thiessi
905-PRESI from Thiessi            receives $50.0 from randomninja
$50.0 from randomninja            receives 595-THUND from Damhsa_Roisin
595-THUND from Damhsa_Roisin      receives 820-WONDA from ausminstrel
820-WONDA from ausminstrel        receives 641-AQUAR from Mark_Owen_Reich
641-AQUAR from Mark_Owen_Reich    receives 443-HACIE from Ozludo
443-HACIE from Ozludo             receives 220-PCOVE from Scholle
220-PCOVE from Scholle            receives $50.0 from Peptis
$50.0 from Peptis                 receives 771-ENDEA from batcut
771-ENDEA from batcut             receives 553-SATOR from gmcnish
553-SATOR from gmcnish            receives 702-PARAD from Amnese
702-PARAD from Amnese             receives 114-ROMML from petegs
114-ROMML from petegs             receives 168-AADAY from snog
168-AADAY from snog               receives 092-EAGLE from smittenkitten
092-EAGLE from smittenkitten      receives $40.0 from tiggers
$40.0 from tiggers                receives 636-STRAS from MrBaggy
636-STRAS from MrBaggy            receives 017-FIELD from revgiblet
017-FIELD from revgiblet          receives 646-PRICO from thepackrat
646-PRICO from thepackrat         receives 505-INDUS from Chuie
505-INDUS from Chuie              receives 135-TRANS from smittenkitten
135-TRANS from smittenkitten      receives 989-AMBDL from ludopoly
989-AMBDL from ludopoly           receives 447-PROPH from Patriachakai
447-PROPH from Patriachakai       receives 066-WHEXP from Hida Mann
066-WHEXP from Hida Mann          receives $12.0 from Jagged Tooth Grin
$12.0 from Jagged Tooth Grin      receives 584-DLBUN from Tyndal
584-DLBUN from Tyndal             receives $10.0 from cyberkev63
$10.0 from cyberkev63             receives 467-NINJA from Patriachakai
467-NINJA from Patriachakai       receives 688-MANOW from srand
688-MANOW from srand              receives 795-AUGSB from Karlsen
795-AUGSB from Karlsen            receives 978-ODINS from cyberkev63
978-ODINS from cyberkev63         receives 871-ATHLE from Neil Thomson
871-ATHLE from Neil Thomson       receives 1010-DWEED from nnf1
1010-DWEED from nnf1              receives $10.0 from Lucky Phil
$10.0 from Lucky Phil             receives 917-SNAKE from mr_lunch
917-SNAKE from mr_lunch           receives 480-FILES from Aneirin
480-FILES from Aneirin            receives 839-MBROS from Amiguero
839-MBROS from Amiguero           receives 834-RUMPI from ausminstrel
834-RUMPI from ausminstrel        receives 1014-CAVUM from nnf1
1014-CAVUM from nnf1              receives 305-ORCBB from da pyrate
305-ORCBB from da pyrate          receives 244-MIDWY from wilderness
244-MIDWY from wilderness         receives 534-ROYAL from tiggers
534-ROYAL from tiggers            receives 328-HANGI from Phil81
328-HANGI from Phil81             receives 459-DEMIC from Patriachakai
459-DEMIC from Patriachakai       receives 110-PILEA from some_guy
110-PILEA from some_guy           receives 072-CHAOS from Hida Mann
072-CHAOS from Hida Mann          receives 603-APPLE from actionman
603-APPLE from actionman          receives 346-JAMBO from Friendless
346-JAMBO from Friendless         receives 399-DYNAS from PBrennan
399-DYNAS from PBrennan           receives 748-ARCAN from Hida Mann
748-ARCAN from Hida Mann          receives 1020-ASHIP from nnf1
1020-ASHIP from nnf1              receives $30.0 from gmcnish
$30.0 from gmcnish                receives 497-GOLDB from Friendless
497-GOLDB from Friendless         receives $30.0 from Alex Brown
$30.0 from Alex Brown             receives 848-WOWDS from TumbleSteak
848-WOWDS from TumbleSteak        receives 326-MEMOR from Phil81
326-MEMOR from Phil81             receives 188-ASARA from Friendless
188-ASARA from Friendless         receives 180-CUUBA from wilderness
180-CUUBA from wilderness         receives 196-DOMIN from prd1982
196-DOMIN from prd1982            receives 091-RHEIN from smittenkitten
091-RHEIN from smittenkitten      receives 044-PRIME from red turtle
044-PRIME from red turtle         receives 150-LOYAN from Lucky Phil
150-LOYAN from Lucky Phil         receives 344-AGRIC from Friendless
344-AGRIC from Friendless         receives 674-TROLL from thepackrat
674-TROLL from thepackrat         receives 173-STCAR from Karlsen
173-STCAR from Karlsen            receives 811-EMPIR from Ozludo
811-EMPIR from Ozludo             receives 633-NUNNY from MrBaggy
633-NUNNY from MrBaggy            receives 014-BLUCT from revgiblet
014-BLUCT from revgiblet          receives 439-VEGAS from Ozludo
439-VEGAS from Ozludo             receives 277-DARJE from ateh
277-DARJE from ateh               receives 126-GENJI from thepackrat
126-GENJI from thepackrat         receives 861-ULYSS from Phil81
861-ULYSS from Phil81             receives $20.0 from cyberkev63
$20.0 from cyberkev63             receives 1005-SLAPS from nnf1
1005-SLAPS from nnf1              receives $18.0 from Lucky Phil
$18.0 from Lucky Phil             receives 856-DELTA from Phil81
856-DELTA from Phil81             receives 465-CHANC from Patriachakai
465-CHANC from Patriachakai       receives 801-PAPER from Jagged Tooth Grin
801-PAPER from Jagged Tooth Grin  receives 493-SPICK from Paul65
493-SPICK from Paul65             receives 498-TENCO from Friendless
498-TENCO from Friendless         receives $30.0 from Croup and Vandemar
$30.0 from Croup and Vandemar     receives 301-PANIC from Amiguero
301-PANIC from Amiguero           receives 358-SUSPT from da pyrate
358-SUSPT from da pyrate          receives 045-ROLLT from Critical Mass
045-ROLLT from Critical Mass      receives 799-PILEX from Karlsen
799-PILEX from Karlsen            receives 088-HELLA from Dr Corey
088-HELLA from Dr Corey           receives 448-SIDSX from Patriachakai
448-SIDSX from Patriachakai       receives 404-LUPUS from PBrennan
404-LUPUS from PBrennan           receives 239-LEMIN from Amnese

240-PRAAA from Amnese             receives 830-TANNH from ausminstrel
830-TANNH from ausminstrel        receives 735-LARGE from snog
735-LARGE from snog               receives 195-CRURX from prd1982
195-CRURX from prd1982            receives 023-MAGES from revgiblet
023-MAGES from revgiblet          receives 297-SIDSX from Mikey
297-SIDSX from Mikey              receives 738-FACMN from fFish
738-FACMN from fFish              receives 692-TTREU from pusboyau
692-TTREU from pusboyau           receives $45.0 from hxbx
$45.0 from hxbx                   receives 166-MACAO from snog
166-MACAO from snog               receives 745-DITDK from fFish
745-DITDK from fFish              receives 186-STONE from Friendless
186-STONE from Friendless         receives 436-ROLLT from anomander64
436-ROLLT from anomander64        receives 024-SPACE from revgiblet
024-SPACE from revgiblet          receives 846-CASHS from TumbleSteak
846-CASHS from TumbleSteak        receives 341-HORSE from Friendless
341-HORSE from Friendless         receives $35.0 from Critical Mass
$35.0 from Critical Mass          receives 370-THEBE from Amiguero
370-THEBE from Amiguero           receives 093-TEMPS from smittenkitten
093-TEMPS from smittenkitten      receives 651-RUNEB from zerogeek
651-RUNEB from zerogeek           receives 965-MIDDQ from psmaylott
965-MIDDQ from psmaylott          receives 828-LUNCH from ausminstrel
828-LUNCH from ausminstrel        receives 858-ESSEN from Phil81
858-ESSEN from Phil81             receives 100-CIVIL from petegs
100-CIVIL from petegs             receives 359-THURN from kathyb
359-THURN from kathyb             receives 034-DIXIT from Thiessi
034-DIXIT from Thiessi            receives 562-ARKAD from gmcnish
562-ARKAD from gmcnish            receives 676-SMART from Friendless
676-SMART from Friendless         receives $20.0 from cyberkev63
$20.0 from cyberkev63             receives 298-GENOA from Mikey
298-GENOA from Mikey              receives 514-AMUNR from Jabroney
514-AMUNR from Jabroney           receives 501-ARKEM from Friendless
501-ARKEM from Friendless         receives $45.0 from hxbx
$45.0 from hxbx                   receives 855-YSTAR from Phil81
855-YSTAR from Phil81             receives 880-UBONG from Neil Thomson
880-UBONG from Neil Thomson       receives 698-LEODV from Amnese
698-LEODV from Amnese             receives 229-GETTY from petegs
229-GETTY from petegs             receives 060-ARRGH from Hida Mann
060-ARRGH from Hida Mann          receives 614-CTHUL from Croup and Vandemar
614-CTHUL from Croup and Vandemar receives 299-CUTTC from Mikey
299-CUTTC from Mikey              receives 278-REDNO from ateh
278-REDNO from ateh               receives 602-ANGEL from rktboy
602-ANGEL from rktboy             receives 327-FUNNY from Phil81
327-FUNNY from Phil81             receives 864-COURT from Neil Thomson
864-COURT from Neil Thomson       receives 785-STACK from Karlsen
785-STACK from Karlsen            receives 857-RAIDR from Phil81
857-RAIDR from Phil81             receives 708-TENAM from grosse_au
708-TENAM from grosse_au          receives 558-FMINI from gmcnish
558-FMINI from gmcnish            receives 852-CREAT from TumbleSteak
852-CREAT from TumbleSteak        receives 760-WAGER from Tezza
760-WAGER from Tezza              receives 543-ABBEY from Ykikamucow
543-ABBEY from Ykikamucow         receives 664-RALLY from rktboy
664-RALLY from rktboy             receives 132-NOSPN from thepackrat
132-NOSPN from thepackrat         receives 749-LOTRS from fFish
749-LOTRS from fFish              receives 529-DSERT from tiggers
529-DSERT from tiggers            receives 761-TOCTC from Tezza
761-TOCTC from Tezza              receives 058-DINOS from Hida Mann
058-DINOS from Hida Mann          receives 892-ILLUM from Kerbster76
892-ILLUM from Kerbster76         receives 865-HTMYF from Phil81
865-HTMYF from Phil81             receives $15.0 from cyberkev63
$15.0 from cyberkev63             receives 656-EATEN from rktboy
656-EATEN from rktboy             receives 1002-FDMIN from nnf1
1002-FDMIN from nnf1              receives $30.0 from Alex Brown
$30.0 from Alex Brown             receives 006-NEXUS from fateswanderer
006-NEXUS from fateswanderer      receives $40.0 from randomninja
$40.0 from randomninja            receives 635-PFLOR from MrBaggy
635-PFLOR from MrBaggy            receives 090-CCARD from smittenkitten
090-CCARD from smittenkitten      receives $35.0 from anomander64
$35.0 from anomander64            receives 319-PANIC from ianwright
319-PANIC from ianwright          receives $25.0 from Tyndal
$25.0 from Tyndal                 receives 669-DCJOU from zerogeek
669-DCJOU from zerogeek           receives 256-SMILY from TorbenVang
256-SMILY from TorbenVang         receives 354-HERAZ from aaronseeber
354-HERAZ from aaronseeber        receives 837-CARCC from Amiguero
837-CARCC from Amiguero           receives 582-UNDER from Tyndal
582-UNDER from Tyndal             receives 542-TIKAL from Ykikamucow
542-TIKAL from Ykikamucow         receives 028-TIMBK from Unhalfbricking
028-TIMBK from Unhalfbricking     receives 870-PROMO from Phil81
870-PROMO from Phil81             receives $15.0 from Moose_Head
$15.0 from Moose_Head             receives 146-TURNT from thepackrat
146-TURNT from thepackrat         receives 083-KENSI from Unhalfbricking
083-KENSI from Unhalfbricking     receives $15.0 from cyberkev63
$15.0 from cyberkev63             receives 829-RISAD from ausminstrel
829-RISAD from ausminstrel        receives 321-HOUSE from sbszine
321-HOUSE from sbszine            receives 248-CRWLR from petegs
248-CRWLR from petegs             receives 613-FLEET from Croup and Vandemar
613-FLEET from Croup and Vandemar receives 156-REDIN from dlow
156-REDIN from dlow               receives 1032-WINGS from nnf1
1032-WINGS from nnf1              receives $25.0 from dlow
$25.0 from dlow                   receives 038-STSCR from red turtle
038-STSCR from red turtle         receives 530-ZERTZ from tiggers
530-ZERTZ from tiggers            receives 819-TAECG from ausminstrel
819-TAECG from ausminstrel        receives 621-SWCCG from trif
621-SWCCG from trif               receives 997-LOTFR from Hida Mann
997-LOTFR from Hida Mann          receives 081-SHERW from Moose_Head
081-SHERW from Moose_Head         receives 348-ORIGO from aaronseeber
348-ORIGO from aaronseeber        receives 911-HERMA from jcbgg
911-HERMA from jcbgg              receives 183-VENIC from junkmonsta
183-VENIC from junkmonsta         receives 291-HANSA from wilderness
291-HANSA from wilderness         receives 051-TOUCH from Hida Mann
051-TOUCH from Hida Mann          receives 754-SLEUT from fFish
754-SLEUT from fFish              receives 882-PARAD from Phil81
882-PARAD from Phil81             receives $15.0 from Damhsa_Roisin
$15.0 from Damhsa_Roisin          receives 600-BOHNA from actionman
600-BOHNA from actionman          receives 347-ATIKA from aaronseeber
347-ATIKA from aaronseeber        receives 541-CANAL from sysyphus
541-CANAL from sysyphus           receives 750-MEXIC from fFish
750-MEXIC from fFish              receives 637-BGOLD from MrBaggy
637-BGOLD from MrBaggy            receives 365-INDST from ludopoly
365-INDST from ludopoly           receives 645-BDUEL from thepackrat
645-BDUEL from thepackrat         receives 810-HAPEN from Ozludo
810-HAPEN from Ozludo             receives $30.0 from intheclear
$30.0 from intheclear             receives 022-RACEY from Unhalfbricking
022-RACEY from Unhalfbricking     receives 519-FUNNY from tiggers
519-FUNNY from tiggers            receives 376-SHANG from PBrennan
376-SHANG from PBrennan           receives 744-DOOMG from fFish
744-DOOMG from fFish              receives 831-TROYE from ausminstrel
831-TROYE from ausminstrel        receives 767-ALHAM from batcut
767-ALHAM from batcut             receives 479-MONDO from Ykikamucow
479-MONDO from Ykikamucow         receives 741-TOBAG from fFish
741-TOBAG from fFish              receives 272-TOPPO from Neil Thomson
272-TOPPO from Neil Thomson       receives 683-WICKE from Friendless
683-WICKE from Friendless         receives 1008-CBALL from nnf1
